 depth,  Abies
509,0.649350649
560,0.657894737
624,3.896103896
674,3.846153846
680,4.487179487
690,1.923076923
700,0.653594771
710,3.205128205
720,0
730,1.307189542
740,1.960784314
750,0
760,0.657894737
770,0.628930818
780,2
790,0
800,1.863354037
810,3.846153846
820,1.307189542
870,7.638888889
920,5.22875817
950,5.970149254
970,9.259259259
1020,0
1027,0.632911392
1083,0
1134,0
1190,0
1240,0.636942675
1289,0
1340,0
1380,0
1395,0
1420,1.408450704
1440,0.711743772
1460,0.653594771
1490,2.53164557
1510,3.797468354
1550,1.773049645
1570,0.543478261
1600,1.290322581
1620,1.324503311
1640,11.05990783
1670,10.1010101
1690,9.225092251
1720,8.280254777
1770,9.826589595
1820,10.36585366
1870,1.265822785
1920,0
1940,0.85106383
1970,0
2020,0.454545455
2030,0.921658986
2050,1.149425287
2070,7.296137339
2120,6.274509804
2150,2.325581395
2165,1.860465116
2240,0.458715596
2260,3.50877193
2280,1.19047619
2320,0
2370,0
2420,0
2430,0.602409639
2470,0
2520,0.460829493
2570,0
2620,0.46728972
2670,0
2720,0.401606426
2770,0.884955752
2820,0.64516129
2840,4.38247012
2870,10.41666667
2920,7.664233577
2970,13.38582677
3020,0.555555556
3050,2.010050251
3070,1.195219124
3090,7.142857143
3100,2.173913043
3110,0
3135,0
3143,0.377358491
3190,3.555555556
3200,1.315789474
3305,0
3351,0
3360,1.515151515
3370,0.833333333
3390,1.260504202
3420,0.352112676
3450,1.675977654
3470,1.796407186
3490,0.452488688
3520,6.12244898
3540,9.025270758
3570,10.12145749
3600,9.205020921
3620,14.55399061
3670,9.649122807
3720,11.27819549
3780,8.870967742
3820,3.557312253
3870,0.704225352
3920,0
3990,0
4020,0
4070,0.448430493
4090,0
4140,0.460829493
4170,2.390438247
4200,1.904761905
4230,0
4260,0.465116279
4280,1.388888889
4300,0.510204082
4320,0
4350,0
4390,0
