OBJECTID,REF_NO_,WELL_NO_,SPUD_LATID,SPUD_LONGI,DDLATITUDE,DDLONGITUD,WELL_CLASS,AREA,OPERATOR,RIG_NAME,TD__MD_,RIG_DATUM,WATER_DEPT,UNIT,SPUD_DATE,RIG_RELEAS,WELL_STATU
1,1,48/25-1,"51° 18' 55.100"" N","08° 03' 19.900"" W",51.3153056,-8.0555278,Exploration,North Celtic Sea Basin,Marathon,Glomar North Sea,10941,31,307,ft,16/05/1970,25/02/1971,P & A with/without shows or untested pay
2,2,50/11-1,"51° 34' 55.300"" N","06° 57' 18.500"" W",51.5820278,-6.9551389,Exploration,North Celtic Sea Basin,Marathon,Glomar North Sea,11906,31,236,ft,27/02/1971,10/09/1971,P & A with/without shows or untested pay
3,3,48/25-2,"51° 19' 39.505"" N","08° 05' 48.595"" W",51.3276403,-8.0968319,Exploration,North Celtic Sea Basin,Marathon,Glomar North Sea,6549,31,304,ft,13/09/1971,09/11/1971,P & A Gas Well
4,4,48/20-1A,"51° 21' 07.772"" N","08° 00' 21.764"" W",51.3521589,-8.0060456,Appraisal,North Celtic Sea Basin,Marathon,Glomar North Sea,7101,31,295,ft,06/05/1972,25/07/1972,P & A Gas Well
5,5,58/3-1,"50° 53' 46.693"" N","07° 35' 10.207"" W",50.8963036,-7.5861686,Exploration,South Celtic Sea Basin,Marathon,Glomar North Sea,9379,31,330,ft,31/07/1972,23/09/1972,P & A with/without shows or untested pay
6,6,56/20-1,"50° 29' 06.624"" N","09° 11' 15.255"" W",50.4851733,-9.1875708,Exploration,North Celtic Sea Basin,Esso,Glomar Grand Isle IX,7930,31,422,ft,16/08/1972,18/10/1972,P & A with/without shows or untested pay
7,7,49/11-1,"51° 32' 24.963"" N","07° 51' 27.106"" W",51.5402675,-7.8575294,Exploration,North Celtic Sea Basin,Marathon,Glomar North Sea,11967,31,267,ft,27/09/1972,22/02/1973,P & A with/without shows or untested pay
8,8,49/16-1,"51° 21' 38.342"" N","07° 52' 02.513"" W",51.3606506,-7.8673647,Appraisal,North Celtic Sea Basin,Marathon,Glomar North Sea,3569,31,295,ft,05/06/1973,29/06/1973,P & A with/without shows or untested pay
9,9,49/16-2,"51° 23' 16.180"" N","07° 57' 34.859"" W",51.3878278,-7.9596831,Appraisal,North Celtic Sea Basin,Marathon,Glomar North Sea,4300,31,293,ft,04/07/1973,09/08/1973,P & A Gas Well
10,10,48/30-1,"51° 03' 45.000"" N","08° 05' 27.115"" W",51.0625,-8.0908653,Exploration,North Celtic Sea Basin,Esso,Saipem Due,9545,43,339,ft,23/07/1973,11/10/1973,P & A with/without shows or untested pay
11,11,49/29-1,"51° 04' 24.839"" N","07° 19' 32.232"" W",51.0735664,-7.32562,Exploration,South Celtic Sea Basin,Marathon,Glomar North Sea,10502,31,319,ft,11/08/1973,20/10/1973,P & A with/without shows or untested pay
12,12,48/24-1,"51° 11' 27.484"" N","08° 23' 40.487"" W",51.1909678,-8.3945797,Exploration,North Celtic Sea Basin,Esso,Saipem Due,8582,43,337,ft,15/10/1973,20/07/1974,P & A Oil & Gas Well
13,13,56/14-1,"50° 35' 06.613"" N","09° 15' 27.596"" W",50.5851703,-9.2576656,Exploration,North Celtic Sea Basin,Esso,Saipem Due,9275,43,343,ft,13/02/1974,25/04/1974,P & A with/without shows or untested pay
14,14,49/13-1,"51° 35' 49.463"" N","07° 33' 35.689"" W",51.5970731,-7.5599136,Exploration,North Celtic Sea Basin,Marathon,Glomar North Sea,9516,31,260,ft,11/07/1974,12/10/1974,P & A Gas Well
15,15,48/28-1,"51° 09' 53.080"" N","08° 27' 46.424"" W",51.1647444,-8.4628956,Exploration,North Celtic Sea Basin,Esso,Saipem Due,5747,43,337,ft,27/09/1974,26/11/1974,P & A Oil Well
16,16,49/14-1,"51° 30' 26.605"" N","07° 21' 27.280"" W",51.5073903,-7.3575778,Exploration,North Celtic Sea Basin,Marathon,Glomar North Sea,7964,31,261,ft,13/10/1974,01/08/1975,P & A Gas Well
17,17,50/12-1,"51° 34' 44.037"" N","06° 42' 19.470"" W",51.5788992,-6.7054083,Exploration,North Celtic Sea Basin,Marathon,Norjarl,4320,80,237,ft,13/06/1975,07/07/1975,P & A with/without shows or untested pay
18,18,56/12-1,"50° 37' 58.642"" N","09° 46' 32.627"" W",50.6329561,-9.7757297,Exploration,North Celtic Sea Basin,Esso,Saipem Due,8973,44,440,ft,22/06/1975,26/08/1975,P & A with/without shows or untested pay
19,19,50/11-2,"51° 34' 28.630"" N","06° 59' 22.526"" W",51.5746194,-6.9895906,Exploration,North Celtic Sea Basin,Marathon,Norjarl,5800,80,240,ft,09/07/1975,10/08/1975,P & A with/without shows or untested pay
20,20,49/20-1,"51° 28' 47.042"" N","07° 08' 05.755"" W",51.4797339,-7.1349319,Exploration,North Celtic Sea Basin,Marathon,Glomar North Sea,6589,31,258,ft,02/08/1975,13/09/1975,P & A with/without shows or untested pay
21,21,49/14-2,"51° 30' 16.351"" N","07° 16' 43.754"" W",51.5045419,-7.2788206,Exploration,North Celtic Sea Basin,Marathon,Norjarl,6659,80,265,ft,12/08/1975,20/09/1975,P & A with/without shows or untested pay
22,22,47/30-1,"51° 03' 12.251"" N","09° 02' 05.130"" W",51.0534031,-9.0347583,Exploration,North Celtic Sea Basin,Esso,Saipem Due,8582,44,386,ft,27/08/1975,11/11/1975,P & A with/without shows or untested pay
23,23,55/30-1,"50° 09' 09.630"" N","10° 05' 54.190"" W",50.152675,-10.0983861,Exploration,Fastnet Basin,ELF,Neptune 7,2800,24,130,m,15/04/1976,28/06/1976,P & A with/without shows or untested pay
24,24,50/3-1,"51° 53' 48.976"" N","06° 32' 09.875"" W",51.8969378,-6.5360764,Exploration,North Celtic Sea Basin,Marathon,Glomar North Sea,8874,31,232,ft,29/04/1976,21/07/1976,P & A with/without shows or untested pay
25,25,48/23-1,"51° 10' 48.460"" N","08° 33' 58.359"" W",51.1801278,-8.5662108,Exploration,North Celtic Sea Basin,Esso,Saipem Due,8300,44,341,ft,03/06/1976,13/08/1976,P & A with/without shows or untested pay
26,26,56/26-1,"50° 03' 56.180"" N","09° 57' 54.330"" W",50.0656056,-9.9650917,Exploration,Fastnet Basin,BP,Neptune 7,2931,24,141,m,01/07/1976,17/08/1976,P & A with/without shows or untested pay
