sample,depth,Qtz,Mc,Ab,Detrital,Dol,Mg Cc,Ar,Si,Cal,Mg,Carbonates,Others,Clay,Opal
CC1-0159,159,19.4,26.72,27.59,73.71,,,,,,,,,26.29,27.3
CC1-0219,219,17.08,21.1,25.58,63.76,,,,,,,,,36.23,20.87
CC1-0250,250,12.74,15.23,17.6,45.57,,,,,,,,,54.43,13.83
CC1-0255(a),255,15.56,30.96,26.41,72.93,,,,,,,,,27.07,27.45
CC1-0320,320,21.25,24.16,23.46,68.87,,,,,,,,,31.13,24.92
CC1-0332,332,15.34,21.94,21.19,58.47,,,,,,,,,41.53,20.58
CC1-0348,348,18.06,16.5,10.31,44.87,,,,,,,,,55.13,13.16
CC1-0373,373,20.91,27.77,24.52,73.19,,,,,,,,,26.81,26.24
CC1-0412,412,13.26,15.99,10.72,39.98,,,,,,,,,60.02,11.55
CC1-0425,425,19.32,21.47,17.11,57.91,,,,,,,,,42.09,19.08
CC1-0447(CF),447,15.42,19.27,17.68,52.37,,,,,,,,,47.64,14.79
CC1-0460,460,14.71,18.42,17.73,50.86,,,,,,,,,49.14,15.53
CC1-0476,476,14.84,19.71,11.82,46.37,,,,,,,,,53.63,15.48
CC1-0509,509,19.11,17.25,20.89,57.25,,,,,,,,,42.75,15.78
CC1-0530,530,16.3,20.09,19.94,56.33,,,,,,,,2.3,41.37,19.11
CC1-0560,560,13.47,18.43,21.76,53.66,,,,,,,,1.73,44.61,19.44
CC1-0600,600,15.81,17.59,31.48,64.89,,,,,,,,,35.11,24.93
CC1-0624,624,20.68,11.08,11.44,43.2,,,,,,,,,56.8,21.72
CC1-0674,674,22.87,15.06,25,62.93,,,,,,,,1.98,35.08,24.93
CC1-0720,720,35.21,8.73,16.92,60.86,,,,,,,,0.61,38.53,21.29
CC1-0735,735,15.76,11.91,22.02,49.68,,,,,,,,1.54,48.78,20.62
CC1-0777(CF),777,18.65,21.99,21.31,61.95,,,,,,,,,38.05,21.86
CC1-0797,797,18.27,13.97,21.58,53.81,,2.76,,,0.69,,3.45,2.39,40.35,24.38
CC1-0820,820,17.74,10.18,19.15,47.08,,0.91,,,,,0.91,3.59,48.43,21.29
CC1-0855,855,21.08,11.59,24.5,57.18,,2.88,,,,,2.88,2.98,36.97,28.04
CC1-0885,885,22.89,12.86,21.59,57.34,,0.63,,,,,0.63,2.06,39.97,24.48
CC1-0920,920,21.27,15.23,22.73,59.23,0.02,0.15,,,,,0.17,2.12,38.5,26.84
CC1-0940,940,14.97,18.41,25.92,59.3,,,,,,,,,35.11,29.65
CC1-0976,976,15.32,16.7,22.08,54.1,,,,7.08,,,7.08,4.29,34.53,24.93
CC1-1027,1027,13.23,6.74,19.34,39.3,57.75,,,,,,57.75,0.14,2.81,83.98
CC1-1083,1083,13.61,13.76,20.75,48.12,43.64,,,0.66,,,44.29,0.73,6.86,64.18
CC1-1134,1134,18.23,8.31,13.91,40.46,55.35,,,0.74,,,56.09,0.39,3.06,78.93
CC1-1190(n),1190,3.79,5.33,8.14,17.26,78.25,,,1.94,,,80.19,,2.55,77.39
CC1-1207,1207,13.09,11.18,15.93,40.19,50.55,,,3.14,,,53.69,,6.12,62.29
CC1-1240,1240,6.1,8.01,9.67,23.78,69.08,,,3.18,,,72.25,,3.97,74.07
